1;DESAYUNOS;En esta categria encontraras  las preparaciones para los desayunos;https://saborgourmet.com/wp-content/uploads/las-mejores-recetas-de-desayunos-fitness-para-perder-grasa.jpg
2;ALMUERZOS;En esta categria encontraras  las preparaciones para los almuerzos;https://s1.eestatic.com/2015/11/01/cocinillas/cocinillas_76002532_116221975_1024x576.jpg
3;CENA;En esta categria encontraras las preparaciones para cenas;https://cloudfront-us-east-1.images.arcpublishing.com/eluniverso/7H5UU4FHUNGHNI7LYNYXLN3VEA.jpg
4;BEBIDAS;En esta categria encontraras las bebidas tipicas colombianas;https://recetasdecolombia.com/wp-content/uploads/2022/02/Receta-para-hacer-refajo-colombiano-en-casa-e1645641111582-768x488.jpg
